Survived,Pclass,Sex,Age,Fare,FamilySize,isAlone,Title,Name_Len
0,3,male,22.0,7.25,2,0,Mr.,23
1,1,female,38.0,71.2833,2,0,Mrs.,51
1,3,female,26.0,7.925,1,1,Miss.,22
1,1,female,35.0,53.1,2,0,Mrs.,44
0,3,male,35.0,8.05,1,1,Mr.,24
0,3,male,29.69911764705882,8.4583,1,1,Mr.,16
0,1,male,54.0,51.8625,1,1,Mr.,23
0,3,male,2.0,21.075,5,0,Master.,30
1,3,female,27.0,11.1333,3,0,Mrs.,49
1,2,female,14.0,30.0708,2,0,Mrs.,35
1,3,female,4.0,16.7,3,0,Miss.,31
1,1,female,58.0,26.55,1,1,Miss.,24
0,3,male,20.0,8.05,1,1,Mr.,30
0,3,male,39.0,31.275,7,0,Mr.,27
0,3,female,14.0,7.8542,1,1,Miss.,36
1,2,female,55.0,16.0,1,1,Mrs.,32
0,3,male,2.0,29.125,6,0,Master.,20
1,2,male,29.69911764705882,13.0,1,1,Mr.,28
0,3,female,31.0,18.0,2,0,Mrs.,55
1,3,female,29.69911764705882,7.225,1,1,Mrs.,23
0,2,male,35.0,26.0,1,1,Mr.,20
1,2,male,34.0,13.0,1,1,Mr.,21
1,3,female,15.0,8.0292,1,1,Miss.,27
1,1,male,28.0,35.5,1,1,Mr.,28
0,3,female,8.0,21.075,5,0,Miss.,29
1,3,female,38.0,31.3875,7,0,Mrs.,57
0,3,male,29.69911764705882,7.225,1,1,Mr.,23
0,1,male,19.0,263.0,6,0,Mr.,30
1,3,female,29.69911764705882,7.8792,1,1,Miss.,29
0,3,male,29.69911764705882,7.8958,1,1,Mr.,19
0,1,male,40.0,27.7208,1,1,Don.,24
1,1,female,29.69911764705882,146.5208,2,0,Mrs.,46
1,3,female,29.69911764705882,7.75,1,1,Miss.,24
0,2,male,66.0,10.5,1,1,Mr.,21
0,1,male,28.0,82.1708,2,0,Mr.,23
0,1,male,42.0,52.0,2,0,Mr.,30
1,3,male,29.69911764705882,7.2292,1,1,Mr.,16
0,3,male,21.0,8.05,1,1,Mr.,24
0,3,female,18.0,18.0,3,0,Miss.,34
1,3,female,14.0,11.2417,2,0,Miss.,27
0,3,female,40.0,9.475,2,0,Mrs.,46
0,2,female,27.0,21.0,2,0,Mrs.,56
0,3,male,29.69911764705882,7.8958,1,1,Mr.,19
1,2,female,3.0,41.5792,4,0,Miss.,40
1,3,female,19.0,7.8792,1,1,Miss.,29
0,3,male,29.69911764705882,8.05,1,1,Mr.,24
0,3,male,29.69911764705882,15.5,2,0,Mr.,17
1,3,female,29.69911764705882,7.75,1,1,Miss.,25
0,3,male,29.69911764705882,21.6792,3,0,Mr.,19
0,3,female,18.0,17.8,2,0,Mrs.,45
0,3,male,7.0,39.6875,6,0,Master.,26
0,3,male,21.0,7.8,1,1,Mr.,28
1,1,female,49.0,76.7292,2,0,Mrs.,40
1,2,female,29.0,26.0,2,0,Mrs.,50
0,1,male,65.0,61.9792,2,0,Mr.,30
1,1,male,29.69911764705882,35.5,1,1,Mr.,17
1,2,female,21.0,10.5,1,1,Miss.,17
0,3,male,28.5,7.2292,1,1,Mr.,19
1,2,female,5.0,27.75,4,0,Miss.,28
0,3,male,11.0,46.9,8,0,Master.,34
0,3,male,22.0,7.2292,1,1,Mr.,21
1,1,female,38.0,80.0,1,1,Miss.,19
0,1,male,45.0,83.475,2,0,Mr.,27
0,3,male,4.0,27.9,6,0,Master.,21
0,1,male,29.69911764705882,27.7208,1,1,Mr.,21
1,3,male,29.69911764705882,15.2458,3,0,Master.,24
1,2,female,29.0,10.5,1,1,Mrs.,28
0,3,male,19.0,8.1583,1,1,Mr.,24
1,3,female,17.0,7.925,7,0,Miss.,31
0,3,male,26.0,8.6625,3,0,Mr.,17
0,2,male,32.0,10.5,1,1,Mr.,26
0,3,female,16.0,46.9,8,0,Miss.,26
0,2,male,21.0,73.5,1,1,Mr.,20
0,3,male,26.0,14.4542,2,0,Mr.,27
1,3,male,32.0,56.4958,1,1,Mr.,13
0,3,male,25.0,7.65,1,1,Mr.,23
0,3,male,29.69911764705882,7.8958,1,1,Mr.,17
0,3,male,29.69911764705882,8.05,1,1,Mr.,24
1,2,male,0.83,29.0,3,0,Master.,29
1,3,female,30.0,12.475,1,1,Miss.,24
0,3,male,22.0,9.0,1,1,Mr.,20
1,3,male,29.0,9.5,1,1,Mr.,27
1,3,female,29.69911764705882,7.7875,1,1,Miss.,30
0,1,male,28.0,47.1,1,1,Mr.,23
1,2,female,17.0,10.5,1,1,Miss.,19
1,3,female,33.0,15.85,4,0,Mrs.,55
0,3,male,16.0,34.375,5,0,Mr.,22
0,3,male,29.69911764705882,8.05,1,1,Mr.,29
1,1,female,23.0,263.0,6,0,Miss.,26
0,3,male,24.0,8.05,1,1,Mr.,22
0,3,male,29.0,8.05,1,1,Mr.,20
0,3,male,20.0,7.8542,1,1,Mr.,26
0,1,male,46.0,61.175,2,0,Mr.,27
0,3,male,26.0,20.575,4,0,Mr.,23
0,3,male,59.0,7.25,1,1,Mr.,17
0,3,male,29.69911764705882,8.05,1,1,Mr.,27
0,1,male,71.0,34.6542,1,1,Mr.,25
1,1,male,23.0,63.3583,2,0,Mr.,31
1,2,female,34.0,23.0,2,0,Mrs.,36
0,2,male,34.0,26.0,2,0,Mr.,17
0,3,female,28.0,7.8958,1,1,Miss.,23
0,3,male,29.69911764705882,7.8958,1,1,Mr.,32
0,1,male,21.0,77.2875,2,0,Mr.,25
0,3,male,33.0,8.6542,1,1,Mr.,26
0,3,male,37.0,7.925,3,0,Mr.,30
0,3,male,28.0,7.8958,1,1,Mr.,21
1,3,female,21.0,7.65,1,1,Miss.,32
1,3,male,29.69911764705882,7.775,1,1,Mr.,22
0,3,male,38.0,7.8958,1,1,Mr.,15
1,3,female,29.69911764705882,24.15,2,0,Miss.,19
0,1,male,47.0,52.0,1,1,Mr.,30
0,3,female,14.5,14.4542,2,0,Miss.,20
0,3,male,22.0,8.05,1,1,Mr.,22
0,3,female,20.0,9.825,2,0,Miss.,23
0,3,female,17.0,14.4583,1,1,Miss.,21
0,3,male,21.0,7.925,1,1,Mr.,21
0,3,male,70.5,7.75,1,1,Mr.,20
0,2,male,29.0,21.0,2,0,Mr.,31
