PassengerId,Survived,Pclass,Sex,Age,Fare,FamilySize,isAlone,Title,Name_Len
1,0,3,1,22.0,7.25,2,0,0,23
2,1,1,0,38.0,71.2833,2,0,1,51
3,1,3,0,26.0,7.925,1,1,16,22
4,1,1,0,35.0,53.1,2,0,1,44
5,0,3,1,35.0,8.05,1,1,0,24
6,0,3,1,29.69911764705882,8.4583,1,1,0,16
7,0,1,1,54.0,51.8625,1,1,0,23
8,0,3,1,2.0,21.075,5,0,2,30
9,1,3,0,27.0,11.1333,3,0,1,49
10,1,2,0,14.0,30.0708,2,0,1,35
11,1,3,0,4.0,16.7,3,0,16,31
12,1,1,0,58.0,26.55,1,1,16,24
13,0,3,1,20.0,8.05,1,1,0,30
14,0,3,1,39.0,31.275,7,0,0,27
15,0,3,0,14.0,7.8542,1,1,16,36
16,1,2,0,55.0,16.0,1,1,1,32
17,0,3,1,2.0,29.125,6,0,2,20
18,1,2,1,29.69911764705882,13.0,1,1,0,28
19,0,3,0,31.0,18.0,2,0,1,55
20,1,3,0,29.69911764705882,7.225,1,1,1,23
21,0,2,1,35.0,26.0,1,1,0,20
22,1,2,1,34.0,13.0,1,1,0,21
23,1,3,0,15.0,8.0292,1,1,16,27
24,1,1,1,28.0,35.5,1,1,0,28
25,0,3,0,8.0,21.075,5,0,16,29
26,1,3,0,38.0,31.3875,7,0,1,57
27,0,3,1,29.69911764705882,7.225,1,1,0,23
28,0,1,1,19.0,263.0,6,0,0,30
29,1,3,0,29.69911764705882,7.8792,1,1,16,29
30,0,3,1,29.69911764705882,7.8958,1,1,0,19
31,0,1,1,40.0,27.7208,1,1,9,24
32,1,1,0,29.69911764705882,146.5208,2,0,1,46
33,1,3,0,29.69911764705882,7.75,1,1,16,24
34,0,2,1,66.0,10.5,1,1,0,21
35,0,1,1,28.0,82.1708,2,0,0,23
36,0,1,1,42.0,52.0,2,0,0,30
37,1,3,1,29.69911764705882,7.2292,1,1,0,16
38,0,3,1,21.0,8.05,1,1,0,24
39,0,3,0,18.0,18.0,3,0,16,34
40,1,3,0,14.0,11.2417,2,0,16,27
41,0,3,0,40.0,9.475,2,0,1,46
42,0,2,0,27.0,21.0,2,0,1,56
43,0,3,1,29.69911764705882,7.8958,1,1,0,19
44,1,2,0,3.0,41.5792,4,0,16,40
45,1,3,0,19.0,7.8792,1,1,16,29
46,0,3,1,29.69911764705882,8.05,1,1,0,24
47,0,3,1,29.69911764705882,15.5,2,0,0,17
48,1,3,0,29.69911764705882,7.75,1,1,16,25
49,0,3,1,29.69911764705882,21.6792,3,0,0,19
50,0,3,0,18.0,17.8,2,0,1,45
51,0,3,1,7.0,39.6875,6,0,2,26
52,0,3,1,21.0,7.8,1,1,0,28
53,1,1,0,49.0,76.7292,2,0,1,40
54,1,2,0,29.0,26.0,2,0,1,50
55,0,1,1,65.0,61.9792,2,0,0,30
56,1,1,1,29.69911764705882,35.5,1,1,0,17
57,1,2,0,21.0,10.5,1,1,16,17
58,0,3,1,28.5,7.2292,1,1,0,19
59,1,2,0,5.0,27.75,4,0,16,28
60,0,3,1,11.0,46.9,8,0,2,34
61,0,3,1,22.0,7.2292,1,1,0,21
62,1,1,0,38.0,80.0,1,1,16,19
63,0,1,1,45.0,83.475,2,0,0,27
64,0,3,1,4.0,27.9,6,0,2,21
65,0,1,1,29.69911764705882,27.7208,1,1,0,21
66,1,3,1,29.69911764705882,15.2458,3,0,2,24
67,1,2,0,29.0,10.5,1,1,1,28
68,0,3,1,19.0,8.1583,1,1,0,24
69,1,3,0,17.0,7.925,7,0,16,31
70,0,3,1,26.0,8.6625,3,0,0,17
71,0,2,1,32.0,10.5,1,1,0,26
72,0,3,0,16.0,46.9,8,0,16,26
73,0,2,1,21.0,73.5,1,1,0,20
74,0,3,1,26.0,14.4542,2,0,0,27
75,1,3,1,32.0,56.4958,1,1,0,13
76,0,3,1,25.0,7.65,1,1,0,23
77,0,3,1,29.69911764705882,7.8958,1,1,0,17
78,0,3,1,29.69911764705882,8.05,1,1,0,24
79,1,2,1,0.83,29.0,3,0,2,29
80,1,3,0,30.0,12.475,1,1,16,24
81,0,3,1,22.0,9.0,1,1,0,20
82,1,3,1,29.0,9.5,1,1,0,27
83,1,3,0,29.69911764705882,7.7875,1,1,16,30
84,0,1,1,28.0,47.1,1,1,0,23
85,1,2,0,17.0,10.5,1,1,16,19
86,1,3,0,33.0,15.85,4,0,1,55
87,0,3,1,16.0,34.375,5,0,0,22
88,0,3,1,29.69911764705882,8.05,1,1,0,29
89,1,1,0,23.0,263.0,6,0,16,26
90,0,3,1,24.0,8.05,1,1,0,22
91,0,3,1,29.0,8.05,1,1,0,20
92,0,3,1,20.0,7.8542,1,1,0,26
93,0,1,1,46.0,61.175,2,0,0,27
